corp_nm,detail
(주)동서가구,                                온라인쇼핑 가구 신규 브랜드 launching을 위해역량 있는 신입 및 경력사원을 모집 합니다.                            
헬리오센,                                헬리오센(주) 각 부문별(GIS/Web/AI/Unity3D/3D) 신입/경력 채용                            
㈜이넘넷,                                서비스/응용 프로그램 프론트 및 백오피스 개발자 모집 충원/모집                            
㈜빌트온,                                빅데이터 분석 경력직 채용                            
㈜써로마인드,                                인공지능 개발플랫폼 프로덕트 매니저 모십니다.                            
우누스오토메이션시스템즈㈜,                                [개발부] UNITY / C# / 빅데이터 개발자 담당별 사원 모집                            
㈜네오게임즈,                                모바일게임회사 Data Engineer                            
㈜엠코퍼레이션,                                IT개발 인재를 모십니다.                            
㈜유비벨록스모바일,"                                2020년 하반기 개발직(spring, web application) 공개 채용                            "
이지스케이㈜,                                인공지능 및 Python 개발자 채용                            
㈜아이아라,                                [신입/정규직/병특] 증강현실(AR) 분야 인재채용                            
㈜두잉랩,                                [Tech Startup 두잉랩] 인공지능/딥러닝 엔지니어 채용                            
뷰런테크놀로지,                                라이다/자율주행 딥러닝(Deep Learning) 정규직 채용                            
서원정보,                                데이타 엔지니어                            
디지털퍼스트㈜,                                AD-Tech 미디어렙 `디지털퍼스트` 데이터분석가 영입                            
㈜써티웨어,                                기술연구소: 머신러닝(빅데이터) 엔지니어 및 개발자 신입/경력직 채용                            
펍지 주식회사,                                [PUBGM] Global Performance Marketing Manager(PM)                            
아이오유소프트㈜,                                [신입/경력] 부설연구소 AI/빅데이터 개발직군 연구원 모집                            
㈜테스트웍스,                                RPA(Robotics Process Automation) Developer w/ UiPath                            
대한무역투자진흥공사,                                미국 Fiscal Note의 한국자회사 Datahunt 개발자 채용                            
㈜이투온,                                빅데이터 / 인공지능 분야  영상 이미지 분석가 모십니다.                            
유비파이,                                딥러닝 엔지니어 채용                            
㈜테스트웍스,                                RPA(Robotics Process Automation) Architect w/ UiPath                            
㈜써티웨어,                                빅데이터 플랫폼 구축 및 Data 분석 경력자 모집                            
패스트캠퍼스㈜,                                [패스트캠퍼스] 퍼포먼스 마케터 경력직 영입                            
㈜뷰노,"                                [뷰노] 의료영상, 생체신호, 음성인식 ML/DL 연구원을 찾습니다                            "
㈜플레로게임즈,                                [플레로게임즈] 광고 수익화 담당자 채용                            
㈜한국정보공작소,                                [기업부설연구소] AI 빅데이터 분야 정규직 전문연구원 모집                            
㈜리얼바이오케어,                                [인공지능]분야 머신러닝/데이터분석/c++ 연구개발자 모집(신입/경력/팀장)                            
㈜써티웨어,"                                빅데이터 분석가, 하둡개발자 채용                            "
㈜오픈소스컨설팅,                                [오픈소스컨설팅] 각 부문 엔지니어 채용                            
㈜디케이아이테크놀로지,"                                [DKI] AI,VR/AR활용 JAVA Web,서버개발(부설 연구소)                            "
㈜써티웨어,                                SI사업  PMO(사업관리)를 모집합니다.                            
㈜테스트웍스,                                [AI 웹/개발자·인공지능·마케팅] 각 부문 신입/경력 채용                            
㈜마이티하이브한국,"                                Mightyhive Korea, Technical Solutions Engineer 직무 채용 공고                            "
㈜마이티하이브한국,"                                Mightyhive Korea, Lead Technical Solutions Engineer 직무 채용 공고                            "
시스원,                                연구소 Java/JavaScript 및 인공지능장애예측 개발자 채용 모집                            
㈜딥노이드,                                [딥노이드] 직군별 담당인재 채용                            
㈜머니브레인,                                [인공지능 기업] 그로쓰 해커(Growth Hacker) 채용(경력)                            
㈜퀀텀에이아이,"                                리테일 AI 딥테크 분야  computer vision, AI, 빅데이터, 백앤드 개발자 모집합니다.                            "
디알엑스㈜,                                DRX 인재 공개 모집                            
㈜테라젠바이오,                                ㈜테라젠바이오 웹개발자 경력자 채용                            
이데아텍,                                플랫폼 R&D 및 서비스 개발 엔지니어 모집 (BigData/Back-End/Front-End)                            
솔리드웨어,                                [솔리드웨어] Full Stack 엔지니어 (Full Stack Engineer) 모집                            
리레코코리아㈜,                                [외국계기업] Commercial Data Analyst 정규직 채용                            
㈜악어디지털,                                웹 및 어플리케이션 경력 개발자 채용                            
메리티움㈜,                                2020년 하반기 각 부문 개발자 모집(SW/CI·CD/비전)                            
㈜유니즌,"                                빅데이터 기반의 BI, DW, Python 개발 업무 신입 채용                            "
펍지 주식회사,                                [XTRM] Data Engineer                            
중견기업(300명이상),                                코스피상장 교육기업 [학습물 데이터 AI 알고리즘 설계/기획 (Core 리더급) - 경력 15년 이상 ]                            
중견기업(300명이상),                                No. 1 이러닝 에듀업체 데이터엔지니어 채용건                            
