corp_nm,detail
현대글로비스(주),현대글로비스 전문인력 상시채용 (부문: 신사업/연구소)
바이브컴퍼니,(경력)소셜분석 보고서 담당자 채용합니다.
(주)잉카인터넷,연구개발 기획 및 시스템 분석/설계
바이브컴퍼니,"FT LAB에서 파이썬, 웹 어플리케이션 개발자 채용합니다."
(주)엣지랭크,디지털 퍼포먼스마케팅 (경력/신입) 모집
(주)아이스크림에듀,㈜아이스크림에듀 개발/기획 직군 채용
(주)브이씨,2021년 상반기 각 부문별 채용 공고
㈜더아이엠씨,더아이엠씨 2021년 상반기 정기 채용(지원부서 명시)
(주)인라이플,[업계1위/최강복지] 딥러닝 및 머신러닝 부문 연구개발자 채용
(주)인라이플,[업계1위/최강복지] 웹 서비스 기획 부문 인재채용
메가존클라우드(주),[메가존클라우드] 2020 하반기 Tech 부문별 대규모 채용
(주)유펜솔루션,[유펜솔루션] 백엔드/웹 크롤링/머신러닝 개발 및 연구
주식회사 포티투마루,[청년디지털일자리] 인공지능 QA개발(머신러닝/검색/SW엔지니어)
(주)디엑솜,"(주)디엑솜 공개채용 [제품개발 연구원,학술지원,기술지원,RA/QA,Bioinformatics,합성팀]"
(주)포티투마루,[포티투마루] 인공지능 기술 특허관리 담당 채용(신입/경력)
(주)포티투마루,[포티투마루] 인공지능 개발 프로젝트 PM 채용(경력)
주식회사 포티투마루,[청년디지털일자리] 인공지능 서비스 신입/경력 기획자 모집
(주)마인즈랩,AI Software Developer 채용
(주)데이터마케팅코리아,"인공지능 마케팅 솔루션, 프론트엔드 엔지니어(신입)"
(주)데이터마케팅코리아,"인공지능 마케팅 솔루션, 프론트엔드 엔지니어(경력)"
리메이크디지털(주),퍼포먼스 마케터(Performance Marketer) 경력자 채용
(주)테스트웍스,[테스트웍스] AI 서비스 플랫폼 PL 경력자 긴급 채용
(주)시큐레이어,2020년 기술연구소 채용 [인공지능(AI) 개발자]
(주)브릭,C# 개발자 채용
(주)피플리,잘나가는 스타트업에 최적화된 서버 경력 개발자를 모집합니다
(주)피플리,잘나가는 스타트업에 최적화된 안드로이드 경력 개발자를 모집합
(주)피플리,잘나가는 스타트업에 최적화된 iOS 경력 개발자를 모집합니다
(주)코리아센터,Python 웹 개발자 채용
㈜다임즈,AI 딥러닝 개발자 충원
주식회사 해줌,프론트엔드 개발 전문가 채용
(주)아와소프트,"웹(JAVA,JSP), Python, 기획/설계 경력자 인원모집"
(주)스쿨버스,세이프 스쿨버스 서버 및 클라이언트(flutter) 개발자 채용
(주)에이다스원,안드로이드 앱 개발자 모집 (신입/경력)
(주)에프에스솔루션,자율주행 영상처리 / 딥러닝 연구원 모집 (신입/ 경력)
(주)인텔로이드,음성인식 전문기업 (주)인텔로이드 AI플랫폼 개발자 채용
메디픽셀,[병특/일반] 의료 인공지능 전문연구요원 채용 (메디픽셀)
메디픽셀,인허가 매니저 (Regulatory Affairs Manager) 채용
(주)비주얼,[경력] 주얼리 커머스 IOS 앱 개발자 채용
주식회사 포티투마루,[포티투마루] 전문연구요원 병역특례 개발자 모집
셰어라운드(주),정부 R&D 과제 책임자(석사이상/경력)
(주)포티투마루,[포티투마루] 인공지능 B2B서비스 UI/UX 디자이너 채용(경력)
주식회사 포티투마루,[포티투마루] 인공지능 챗봇솔루션 플랫폼개발 채용(경력)
(주)와이디생명과학,[에일론] 인공지능 기반 신약개발
(주)포티투마루,[포티투마루] 인공지능 서비스 기획자 채용(경력)
(주)포티투마루,[포티투마루] 신규 인공지능 서비스 기획자 채용(신입/경력)
주식회사 포티투마루,[포티투마루] 인공지능 프론트엔드 개발 채용(경력)
워크브레인(주),가상화 보안 / IoT / 머신러닝 개발자 채용
(주)마인즈랩,[인공지능 전문기업] 마인즈랩 산업기능요원(현역) 공개 채용
뉴로핏 주식회사,의료영상처리 인공지능 엔지니어 정규직 모집
바이오에이아이,약물 딥러닝 연구원 모집
주식회사 디로그,"인공지능(AI), 응용프로그램 및 웹 개발자 모집"
디아이티(주),"AI기반 비전SW 개발,기구설계,제어 인력채용"
(주)페이타랩,IT 스타트업 '패스오더'와 함께 할 개발자 찾아요 [5개직군]
(주)이지서티,[신입/경력] JAVA 개발 / C개발 / 분석서암호화 모듈 개발자채용
에스케이플래닛(주),각 부문 경력사원 채용
(주)테스트웍스,[테스트웍스] 각 부문 신입 · 경력 채용
클라우드그램(주),[클라우드그램] 2020년 하반기 각 부문별 채용
메가존(주),[펜타클] 각 부문별 채용
메가존(주),[메가존] 각 부문별 채용
(주)스타마타,부문별 정규직&계약직 모집 공고
메가존클라우드(주),[메가존클라우드] 2021 상반기 신입 채용
(주)사람인에이치알,[사람인LAB] 인공지능(AI) 연구원 채용
(주)중고나라,[중고나라]정규직 부문 채용
메가존(주),[메가존] 하반기 부문별 채용
이투스교육(주),[이투스교육㈜] 12월 개발자 신입/경력 정규직 채용
(주)토니모리,[(주)토니모리] 각 부문별 경력직 채용
(주)웹젠,[웹젠ㅣ웹젠온네트ㅣ웹젠레드코어] 수시채용
메가존클라우드(주),[메가존클라우드] 기술(Tech)직군 모집공고
(주)온코크로스,SW 개발자 정규직 채용
패스트캠퍼스(주),[패스트캠퍼스 FCL] 각 부문별 정규 채용
(주)두잉랩,[Tech Startup 두잉랩] 딥러닝/iOS/프론트엔드 개발자 및 디자인
(주)플래티어,2021 상반기 경력사원 공개채용
(주)동아엘텍,[㈜동아엘텍] FW설계 및 HW설계 경력 채용
(주)씨이랩,2020년 하반기 신입/경력 상시채용
캐롯손해보험(주),캐롯손해보험 12월 경력직 상시채용
라온피플(주),AI 머신비전 응용프로그램 개발/AI 검사장비 개발
(주)모비젠,2020년 하반기 (주)모비젠 부문별 경력 모집 공고
네이버클라우드(주),[네이버클라우드] 2020년 엔지니어부문 경력사원 모집
파킹클라우드(주),[파킹클라우드]연구소 부문별 채용
㈜영림원소프트랩,"(주)영림원소프트랩 R&D 개발자 모집(신입,경력 무관)"
(주)케이비저축은행,KB저축은행  IT부문 경력직(정규직) 수시 채용
(주)엔에이치엔에이스,2020년 하반기 각 부문 경력 채용
씨제이포디플렉스(주),CJ 4Dplex [스마트솔루션팀] SW 개발 각 부문 경력사원 채용
(주)카카오커머스,[카카오커머스] 기술직군 모집
중앙일보(주),뉴스서비스실 디지털(기획/개발/디자인) 직군 경력사원 상시채용
(주)노보믹스,㈜노보믹스 바이오인포매틱스 BI 채용
(주)제스큐,제스큐 하반기 각 부문 정규직 채용
(주)크레스콤,소프트웨어 개발(인공지능/웹개발/서버개발) 경력 채용
인비즈써치,국내 대형증권사 IT 개발 전부문 경력자 모집
올커리어,"Python, 머신러닝, TensorFlow外 정규직 채용(경력&신입)"
(주)수성엔지니어링,기업부설 기술연구소 웹 개발 엔지니어 채용
(주)비즈테크파트너스,IT 인프라 운영 및 클라우드 TA/SA 채용
(주)유호스트,[LG그룹/상암] LG CNS 클라우드 어드민 정규직 채용
네이버클라우드(주),[네이버클라우드] 2020년 사업부문 경력사원 모집
이타스코리아(주),[이타스코리아] Security Consultant_정규직 채용
(주)투라인코드,Backend / Frontend 개발자 모집
(주)피플멀티,"기술영업 / SW개발,유지보수 경력직원 채용"
(주)공팔리터,AI Labs 리더 경력 채용
HR컨설팅(주),10대 대기업 IT계열사 IT경력직 각 부문별 채용 4년~20년
데이터플로,딥러닝 이미지 영상 처리 연구개발 (정규직/계약직)
(주)나투,인공지능형 플랫폼 개발 지원 및 의료 DB 입력 분석
(주)어센트코리아,"마케팅 분석, 전략, 콘텐츠 전문가 채용 / (주)어센트코리아"
(주)어센트코리아,어센트코리아 기업부설연구소 / 자연어처리 개발자 모집
(주)넥스트코어테크놀로지,[넥스트코어테크놀로지] 부문별 정규직 모집(인재선발)
(주)넥스트코어테크놀로지,영상 딥러닝 오픈소스 활용 솔루션 개발자 모집( Python우대 )
(주)힘난다,개발팀 기업부설연구소 - 맞춤형 건강 간편식 제안 서비스 제공
(주)시스메틱,신입/경력 파이썬 벡엔드 및 인공지능 개발자 모집
(주)피노맥스,"인공지능(AI), 머신러닝 연구원 정규직 모집(경력 2년 이상)"
(주)메디치소프트,"R&D 파이썬 개발 신입, 경력 채용 공고 - 정규직"
(주)바디프랜드,바디프랜드 헬스케어 콘텐츠 기획/운영 에디터 모집
(주)유비온,[유비온] 에듀테크 R&D센터 연구원 채용
